"['183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '0']"
"['195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '1']"
"['199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '1']"
"['185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '0']"
"['177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '1']"
"['186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '1']"
"['188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '1']"
"['195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '0']"
"['201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '1']"
"['198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '1']"
"['205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '1']"
"['203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '1']"
"['204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '963.83', '1']"
"['212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '963.83', '1049.35', '1']"
"['227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '963.83', '1049.35', '1102.54', '0']"
"['260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '963.83', '1049.35', '1102.54', '1094.99', '0']"
"['267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '963.83', '1049.35', '1102.54', '1094.99', '951.58', '1']"
"['294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '963.83', '1049.35', '1102.54', '1094.99', '951.58', '1031.68', '1']"
"['333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '963.83', '1049.35', '1102.54', '1094.99', '951.58', '1031.68', '1080.61', '1']"
"['338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '963.83', '1049.35', '1102.54', '1094.99', '951.58', '1031.68', '1080.61', '1091.44', '0']"
"['335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '963.83', '1049.35', '1102.54', '1094.99', '951.58', '1031.68', '1080.61', '1091.44', '992.26', '0']"
"['340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '963.83', '1049.35', '1102.54', '1094.99', '951.58', '1031.68', '1080.61', '1091.44', '992.26', '776.36', '0']"
"['358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '963.83', '1049.35', '1102.54', '1094.99', '951.58', '1031.68', '1080.61', '1091.44', '992.26', '776.36', '730.1', '1']"
"['406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '963.83', '1049.35', '1102.54', '1094.99', '951.58', '1031.68', '1080.61', '1091.44', '992.26', '776.36', '730.1', '817.61', '1']"
"['413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '963.83', '1049.35', '1102.54', '1094.99', '951.58', '1031.68', '1080.61', '1091.44', '992.26', '776.36', '730.1', '817.61', '897.54', '1']"
"['456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '963.83', '1049.35', '1102.54', '1094.99', '951.58', '1031.68', '1080.61', '1091.44', '992.26', '776.36', '730.1', '817.61', '897.54', '946.85', '0']"
"['444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '963.83', '1049.35', '1102.54', '1094.99', '951.58', '1031.68', '1080.61', '1091.44', '992.26', '776.36', '730.1', '817.61', '897.54', '946.85', '873.03', '1']"
"['504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '963.83', '1049.35', '1102.54', '1094.99', '951.58', '1031.68', '1080.61', '1091.44', '992.26', '776.36', '730.1', '817.61', '897.54', '946.85', '873.03', '894.43', '0']"
"['653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '963.83', '1049.35', '1102.54', '1094.99', '951.58', '1031.68', '1080.61', '1091.44', '992.26', '776.36', '730.1', '817.61', '897.54', '946.85', '873.03', '894.43', '881.59', '0']"
